"","Domain","Phylum","Class","Order","Family","Genus","SIP1","SIP2","SIP3","SIP4","SIP5","SIP6","SIP7","SIP8","SIP9","SIP10","SIP11","SIP12","SIP13","SIP14","SIP15","SIP16","SIP17","SIP18"
"2","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",29.8323548792016,12158.0016392964,32.4205729758436,0,402.684995255751,2985.41454958957,268.012978229388,35.857898478652,302.449954015222,0,278.049924469779,25.2346630900824,315.031859057967,17.3481049459705,809.427295739013,3106.3041841089,83.1262104884416,738.26688815909
"3","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",0,1587.41458169453,1626.58646130232,0,98.0899347417856,541.139064592856,5.44188788283022,10.8005718309193,0,0,110.127793325183,13.9225727393558,60.7092645059625,13.8784839567764,59.1504562270817,6.98673905557557,0,2.62261771992572
"6","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria",0,0,0,0,28.3944547936748,45.7484716443236,1.36047197070756,2.59213723942062,0,0,1.36522057841135,47.8588437915357,3.28158186518716,0,0,0,0,0
"7","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter",0,1.10698366924305,0,0,0,0,0,0,0,0,0,58.3007733460526,0,0,0,0,1.18751729269202,988.726880411996
"8","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",0,2734.24966303033,7.87356772270487,0,5.1626281443045,4876.78707728489,34.0117992676889,24.6253037744959,0,0,0.455073526137118,0.87016079620974,0,9.02101457190467,0,2.79469562223023,0,1.31130885996286
"9","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Thauera",17.4022070128676,2.2139673384861,0,0,0,3.92129756951345,276.175810053634,5.18427447884125,99.5157913211375,0,410.47632057568,13.9225727393558,41.0197733148395,0,4.66977286003277,0.698673905557557,0,0
"10","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",3.7290443599002,0,0,0,2.58131407215225,0,164.617108455614,8.64045746473541,0,0,5.46088231364541,1.74032159241948,4.92237279778074,0,6.22636381337702,551.253711484913,114.001660098434,133.753503716212
"11","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",0,0,0,0,0,994.702483466579,1.36047197070756,3.45618298589416,0,0,0,0,0,1.38784839567764,0,1.39734781111511,0,0
"16","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",16.1591922262342,0,0,0,0,1.30709918983782,0,0,154.151912046468,0,0.455073526137118,85.2757580285545,1.64079093259358,43.7172244638457,1.55659095334426,5.58939124446046,186.440214952648,451.090247827224
"17","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Ralstonia",815.41770003151,793.707290847266,2.77890625507231,0,180.691985050658,346.381285307021,5.44188788283022,3.88820585913093,0,0,0,17.4032159241948,782.657274847138,0,0,1.39734781111511,0,0
